n,q0,q1,q2,mean_cost,std
15000.0,0.4,0.1,0.1,154.92,73.67
15000.0,0.4,0.1,0.2,206.22,76.84
15000.0,0.4,0.1,0.3,189.43,85.86
15000.0,0.4,0.1,0.4,224.61,94.84
15000.0,0.4,0.1,0.5,219.17,87.95
15000.0,0.4,0.2,0.1,192.87,102.97
15000.0,0.4,0.2,0.2,230.86,84.16
15000.0,0.4,0.2,0.3,239.15,114.9
15000.0,0.4,0.2,0.4,241.97,97.17
15000.0,0.4,0.2,0.5,255.26,113.32
15000.0,0.4,0.3,0.1,214.17,97.0
15000.0,0.4,0.3,0.2,257.17,114.58
15000.0,0.4,0.3,0.3,254.56,116.41
15000.0,0.4,0.3,0.4,270.24,111.22
15000.0,0.4,0.3,0.5,321.8,119.16
15000.0,0.4,0.4,0.1,231.65,85.34
15000.0,0.4,0.4,0.2,234.02,105.72
15000.0,0.4,0.4,0.3,311.13,132.87
15000.0,0.4,0.4,0.4,258.51,111.68
15000.0,0.4,0.4,0.5,272.45,109.86
15000.0,0.4,0.5,0.1,209.32,90.81
15000.0,0.4,0.5,0.2,246.5,111.53
15000.0,0.4,0.5,0.3,284.97,132.78
15000.0,0.4,0.5,0.4,281.22,130.12
15000.0,0.4,0.5,0.5,301.5,128.46
15000.0,0.5,0.1,0.1,168.54,66.55
15000.0,0.5,0.1,0.2,186.56,83.32
15000.0,0.5,0.1,0.3,204.45,80.3
15000.0,0.5,0.1,0.4,212.18,99.9
15000.0,0.5,0.1,0.5,219.9,96.33
15000.0,0.5,0.2,0.1,199.35,90.89
15000.0,0.5,0.2,0.2,230.88,104.08
15000.0,0.5,0.2,0.3,232.89,110.8
15000.0,0.5,0.2,0.4,250.93,100.06
15000.0,0.5,0.2,0.5,252.49,116.39
15000.0,0.5,0.3,0.1,212.22,94.77
15000.0,0.5,0.3,0.2,247.34,109.88
15000.0,0.5,0.3,0.3,265.02,111.12
15000.0,0.5,0.3,0.4,279.09,115.8
15000.0,0.5,0.3,0.5,284.82,109.49
15000.0,0.5,0.4,0.1,211.09,88.2
15000.0,0.5,0.4,0.2,232.97,98.52
15000.0,0.5,0.4,0.3,281.45,123.44
15000.0,0.5,0.4,0.4,295.94,126.64
15000.0,0.5,0.4,0.5,275.07,122.51
15000.0,0.5,0.5,0.1,207.59,92.95
15000.0,0.5,0.5,0.2,245.75,101.14
15000.0,0.5,0.5,0.3,285.65,115.14
15000.0,0.5,0.5,0.4,252.95,102.68
15000.0,0.5,0.5,0.5,285.01,122.26
20000.0,0.1,0.1,0.1,155.16,75.78
20000.0,0.1,0.1,0.2,179.94,75.11
20000.0,0.1,0.1,0.3,188.79,81.38
20000.0,0.1,0.1,0.4,189.46,88.62
20000.0,0.1,0.1,0.5,199.18,85.17
20000.0,0.1,0.2,0.1,180.01,79.41
20000.0,0.1,0.2,0.2,206.0,86.71
20000.0,0.1,0.2,0.3,206.8,92.3
20000.0,0.1,0.2,0.4,231.25,92.97
20000.0,0.1,0.2,0.5,217.74,96.71
20000.0,0.1,0.3,0.1,184.73,81.34
20000.0,0.1,0.3,0.2,228.97,90.35
20000.0,0.1,0.3,0.3,215.73,96.93
20000.0,0.1,0.3,0.4,241.17,107.45
20000.0,0.1,0.3,0.5,242.28,104.1
20000.0,0.1,0.4,0.1,187.94,89.61
20000.0,0.1,0.4,0.2,212.75,93.97
