#Col 1: dimension K: 6
#Col 2: specified s: 3
#Col 3: min n: 50000
#Col 4: max n50000
#Col 5: pas n1
#Col 7: n of trees100

K,s,n,q0,q1,q2,cost
6,3,50000,0.1,0.1,0.06,174
6,3,50000,0.1,0.1,0.06,259
6,3,50000,0.1,0.1,0.06,183
6,3,50000,0.1,0.1,0.06,161
6,3,50000,0.1,0.1,0.06,275
6,3,50000,0.1,0.1,0.06,145
6,3,50000,0.1,0.1,0.06,231
6,3,50000,0.1,0.1,0.06,98
6,3,50000,0.1,0.1,0.06,235
6,3,50000,0.1,0.1,0.06,189
6,3,50000,0.1,0.1,0.06,264
6,3,50000,0.1,0.1,0.06,199
6,3,50000,0.1,0.1,0.06,318
6,3,50000,0.1,0.1,0.06,70
6,3,50000,0.1,0.1,0.06,171
6,3,50000,0.1,0.1,0.06,339
6,3,50000,0.1,0.1,0.06,252
6,3,50000,0.1,0.1,0.06,295
6,3,50000,0.1,0.1,0.06,149
6,3,50000,0.1,0.1,0.06,219
6,3,50000,0.1,0.1,0.06,367
6,3,50000,0.1,0.1,0.06,80
6,3,50000,0.1,0.1,0.06,173
6,3,50000,0.1,0.1,0.06,125
6,3,50000,0.1,0.1,0.06,180
6,3,50000,0.1,0.1,0.06,271
6,3,50000,0.1,0.1,0.06,203
6,3,50000,0.1,0.1,0.06,132
6,3,50000,0.1,0.1,0.06,219
6,3,50000,0.1,0.1,0.06,139
6,3,50000,0.1,0.1,0.06,121
6,3,50000,0.1,0.1,0.06,246
6,3,50000,0.1,0.1,0.06,275
6,3,50000,0.1,0.1,0.06,186
6,3,50000,0.1,0.1,0.06,81
6,3,50000,0.1,0.1,0.06,282
6,3,50000,0.1,0.1,0.06,245
6,3,50000,0.1,0.1,0.06,381
6,3,50000,0.1,0.1,0.06,257
6,3,50000,0.1,0.1,0.06,267
6,3,50000,0.1,0.1,0.06,389
6,3,50000,0.1,0.1,0.06,301
6,3,50000,0.1,0.1,0.06,165
6,3,50000,0.1,0.1,0.06,105
6,3,50000,0.1,0.1,0.06,185
6,3,50000,0.1,0.1,0.06,348
6,3,50000,0.1,0.1,0.06,28
6,3,50000,0.1,0.1,0.06,137
6,3,50000,0.1,0.1,0.06,86
6,3,50000,0.1,0.1,0.06,213
6,3,50000,0.1,0.1,0.06,222
6,3,50000,0.1,0.1,0.06,332
6,3,50000,0.1,0.1,0.06,148
6,3,50000,0.1,0.1,0.06,251
6,3,50000,0.1,0.1,0.06,229
6,3,50000,0.1,0.1,0.06,133
6,3,50000,0.1,0.1,0.06,142
6,3,50000,0.1,0.1,0.06,192
6,3,50000,0.1,0.1,0.06,213
6,3,50000,0.1,0.1,0.06,322
6,3,50000,0.1,0.1,0.06,222
6,3,50000,0.1,0.1,0.06,185
6,3,50000,0.1,0.1,0.06,343
6,3,50000,0.1,0.1,0.06,105
6,3,50000,0.1,0.1,0.06,207
6,3,50000,0.1,0.1,0.06,322
6,3,50000,0.1,0.1,0.06,72
6,3,50000,0.1,0.1,0.06,283
6,3,50000,0.1,0.1,0.06,132
6,3,50000,0.1,0.1,0.06,205
6,3,50000,0.1,0.1,0.06,158
6,3,50000,0.1,0.1,0.06,526
6,3,50000,0.1,0.1,0.06,242
6,3,50000,0.1,0.1,0.06,328
6,3,50000,0.1,0.1,0.06,124
6,3,50000,0.1,0.1,0.06,501
6,3,50000,0.1,0.1,0.06,178
6,3,50000,0.1,0.1,0.06,308
6,3,50000,0.1,0.1,0.06,457
6,3,50000,0.1,0.1,0.06,111
6,3,50000,0.1,0.1,0.06,183
6,3,50000,0.1,0.1,0.06,239
6,3,50000,0.1,0.1,0.06,318
6,3,50000,0.1,0.1,0.06,427
6,3,50000,0.1,0.1,0.06,146
6,3,50000,0.1,0.1,0.06,99
6,3,50000,0.1,0.1,0.06,251
6,3,50000,0.1,0.1,0.06,258
6,3,50000,0.1,0.1,0.06,314
6,3,50000,0.1,0.1,0.06,80
6,3,50000,0.1,0.1,0.06,431
6,3,50000,0.1,0.1,0.06,292
6,3,50000,0.1,0.1,0.06,234
6,3,50000,0.1,0.1,0.08,85
6,3,50000,0.1,0.1,0.08,175
6,3,50000,0.1,0.1,0.08,97
6,3,50000,0.1,0.1,0.08,180
6,3,50000,0.1,0.1,0.08,194
6,3,50000,0.1,0.1,0.08,208
6,3,50000,0.1,0.1,0.08,355
6,3,50000,0.1,0.1,0.08,365
6,3,50000,0.1,0.1,0.08,178
6,3,50000,0.1,0.1,0.08,423
6,3,50000,0.1,0.1,0.08,365
6,3,50000,0.1,0.1,0.08,342
6,3,50000,0.1,0.1,0.08,125
6,3,50000,0.1,0.1,0.08,303
6,3,50000,0.1,0.1,0.08,443
6,3,50000,0.1,0.1,0.08,317
6,3,50000,0.1,0.1,0.08,61
6,3,50000,0.1,0.1,0.08,623
6,3,50000,0.1,0.1,0.08,253
6,3,50000,0.1,0.1,0.08,205
6,3,50000,0.1,0.1,0.08,367
6,3,50000,0.1,0.1,0.08,52
6,3,50000,0.1,0.1,0.08,418
6,3,50000,0.1,0.1,0.08,341
6,3,50000,0.1,0.1,0.08,217
6,3,50000,0.1,0.1,0.08,239
6,3,50000,0.1,0.1,0.08,86
6,3,50000,0.1,0.1,0.08,158
6,3,50000,0.1,0.1,0.08,217
6,3,50000,0.1,0.1,0.08,210
6,3,50000,0.1,0.1,0.08,133
6,3,50000,0.1,0.1,0.08,185
6,3,50000,0.1,0.1,0.08,555
6,3,50000,0.1,0.1,0.08,114
6,3,50000,0.1,0.1,0.08,163
6,3,50000,0.1,0.1,0.08,446
6,3,50000,0.1,0.1,0.08,78
6,3,50000,0.1,0.1,0.08,326
6,3,50000,0.1,0.1,0.08,304
6,3,50000,0.1,0.1,0.08,270
6,3,50000,0.1,0.1,0.08,85
6,3,50000,0.1,0.1,0.08,330
6,3,50000,0.1,0.1,0.08,266
6,3,50000,0.1,0.1,0.08,240
6,3,50000,0.1,0.1,0.08,197
6,3,50000,0.1,0.1,0.08,182
6,3,50000,0.1,0.1,0.08,180
6,3,50000,0.1,0.1,0.08,87
6,3,50000,0.1,0.1,0.08,637
6,3,50000,0.1,0.1,0.08,106
6,3,50000,0.1,0.1,0.08,415
6,3,50000,0.1,0.1,0.08,155
6,3,50000,0.1,0.1,0.08,176
6,3,50000,0.1,0.1,0.08,142
6,3,50000,0.1,0.1,0.08,216
6,3,50000,0.1,0.1,0.08,80
6,3,50000,0.1,0.1,0.08,145
6,3,50000,0.1,0.1,0.08,115
6,3,50000,0.1,0.1,0.08,184
6,3,50000,0.1,0.1,0.08,380
6,3,50000,0.1,0.1,0.08,271
6,3,50000,0.1,0.1,0.08,226
6,3,50000,0.1,0.1,0.08,351
6,3,50000,0.1,0.1,0.08,426
6,3,50000,0.1,0.1,0.08,327
6,3,50000,0.1,0.1,0.08,287
6,3,50000,0.1,0.1,0.08,122
6,3,50000,0.1,0.1,0.08,228
6,3,50000,0.1,0.1,0.08,125
6,3,50000,0.1,0.1,0.08,272
6,3,50000,0.1,0.1,0.08,171
6,3,50000,0.1,0.1,0.08,193
6,3,50000,0.1,0.1,0.08,214
6,3,50000,0.1,0.1,0.08,220
6,3,50000,0.1,0.1,0.08,203
6,3,50000,0.1,0.1,0.08,447
6,3,50000,0.1,0.1,0.08,258
6,3,50000,0.1,0.1,0.08,330
6,3,50000,0.1,0.1,0.08,184
6,3,50000,0.1,0.1,0.08,85
6,3,50000,0.1,0.1,0.08,141
6,3,50000,0.1,0.1,0.08,315
6,3,50000,0.1,0.1,0.08,232
6,3,50000,0.1,0.1,0.08,230
6,3,50000,0.1,0.1,0.08,155
6,3,50000,0.1,0.1,0.08,223
6,3,50000,0.1,0.1,0.08,153
6,3,50000,0.1,0.1,0.08,92
6,3,50000,0.1,0.1,0.08,232
6,3,50000,0.1,0.1,0.08,239
6,3,50000,0.1,0.1,0.08,287
6,3,50000,0.1,0.1,0.08,288
6,3,50000,0.1,0.1,0.08,355
6,3,50000,0.1,0.1,0.08,155
6,3,50000,0.1,0.1,0.08,104
6,3,50000,0.1,0.1,0.08,304
6,3,50000,0.1,0.1,0.08,88
6,3,50000,0.1,0.1,0.08,297
6,3,50000,0.1,0.1,0.08,204
6,3,50000,0.1,0.1,0.08,420
6,3,50000,0.1,0.1,0.1,186
6,3,50000,0.1,0.1,0.1,158
6,3,50000,0.1,0.1,0.1,252
6,3,50000,0.1,0.1,0.1,375
6,3,50000,0.1,0.1,0.1,101
6,3,50000,0.1,0.1,0.1,266
6,3,50000,0.1,0.1,0.1,334
6,3,50000,0.1,0.1,0.1,238
6,3,50000,0.1,0.1,0.1,279
6,3,50000,0.1,0.1,0.1,292
6,3,50000,0.1,0.1,0.1,349
6,3,50000,0.1,0.1,0.1,464
6,3,50000,0.1,0.1,0.1,190
6,3,50000,0.1,0.1,0.1,159
6,3,50000,0.1,0.1,0.1,31
6,3,50000,0.1,0.1,0.1,579
6,3,50000,0.1,0.1,0.1,152
6,3,50000,0.1,0.1,0.1,592
6,3,50000,0.1,0.1,0.1,461
6,3,50000,0.1,0.1,0.1,110
6,3,50000,0.1,0.1,0.1,241
6,3,50000,0.1,0.1,0.1,204
6,3,50000,0.1,0.1,0.1,107
6,3,50000,0.1,0.1,0.1,157
6,3,50000,0.1,0.1,0.1,299
6,3,50000,0.1,0.1,0.1,235
6,3,50000,0.1,0.1,0.1,416
6,3,50000,0.1,0.1,0.1,118
6,3,50000,0.1,0.1,0.1,505
6,3,50000,0.1,0.1,0.1,310
6,3,50000,0.1,0.1,0.1,151
6,3,50000,0.1,0.1,0.1,329
6,3,50000,0.1,0.1,0.1,300
6,3,50000,0.1,0.1,0.1,108
6,3,50000,0.1,0.1,0.1,83
6,3,50000,0.1,0.1,0.1,117
6,3,50000,0.1,0.1,0.1,288
6,3,50000,0.1,0.1,0.1,306
6,3,50000,0.1,0.1,0.1,259
6,3,50000,0.1,0.1,0.1,198
6,3,50000,0.1,0.1,0.1,125
6,3,50000,0.1,0.1,0.1,354
6,3,50000,0.1,0.1,0.1,135
6,3,50000,0.1,0.1,0.1,118
6,3,50000,0.1,0.1,0.1,158
6,3,50000,0.1,0.1,0.1,157
6,3,50000,0.1,0.1,0.1,211
6,3,50000,0.1,0.1,0.1,116
6,3,50000,0.1,0.1,0.1,487
6,3,50000,0.1,0.1,0.1,334
6,3,50000,0.1,0.1,0.1,328
6,3,50000,0.1,0.1,0.1,281
6,3,50000,0.1,0.1,0.1,356
6,3,50000,0.1,0.1,0.1,411
6,3,50000,0.1,0.1,0.1,85
6,3,50000,0.1,0.1,0.1,211
6,3,50000,0.1,0.1,0.1,156
6,3,50000,0.1,0.1,0.1,427
6,3,50000,0.1,0.1,0.1,218
6,3,50000,0.1,0.1,0.1,386
6,3,50000,0.1,0.1,0.1,189
6,3,50000,0.1,0.1,0.1,142
6,3,50000,0.1,0.1,0.1,129
6,3,50000,0.1,0.1,0.1,235
6,3,50000,0.1,0.1,0.1,279
6,3,50000,0.1,0.1,0.1,473
6,3,50000,0.1,0.1,0.1,248
6,3,50000,0.1,0.1,0.1,250
6,3,50000,0.1,0.1,0.1,67
6,3,50000,0.1,0.1,0.1,95
6,3,50000,0.1,0.1,0.1,204
6,3,50000,0.1,0.1,0.1,211
6,3,50000,0.1,0.1,0.1,185
6,3,50000,0.1,0.1,0.1,354
6,3,50000,0.1,0.1,0.1,204
6,3,50000,0.1,0.1,0.1,149
6,3,50000,0.1,0.1,0.1,100
6,3,50000,0.1,0.1,0.1,463
6,3,50000,0.1,0.1,0.1,65
6,3,50000,0.1,0.1,0.1,334
6,3,50000,0.1,0.1,0.1,206
6,3,50000,0.1,0.1,0.1,208
6,3,50000,0.1,0.1,0.1,76
6,3,50000,0.1,0.1,0.1,244
6,3,50000,0.1,0.1,0.1,272
6,3,50000,0.1,0.1,0.1,266
6,3,50000,0.1,0.1,0.1,246
6,3,50000,0.1,0.1,0.1,185
6,3,50000,0.1,0.1,0.1,171
6,3,50000,0.1,0.1,0.1,286
6,3,50000,0.1,0.1,0.1,294
6,3,50000,0.1,0.1,0.1,372
6,3,50000,0.1,0.1,0.1,442
6,3,50000,0.1,0.1,0.1,201
6,3,50000,0.1,0.1,0.1,213
6,3,50000,0.1,0.1,0.1,36
6,3,50000,0.1,0.1,0.1,226
6,3,50000,0.1,0.1,0.1,267
6,3,50000,0.1,0.1,0.1,175
6,3,50000,0.1,0.1,0.1,419
6,3,50000,0.1,0.1,0.12,355
6,3,50000,0.1,0.1,0.12,283
6,3,50000,0.1,0.1,0.12,279
6,3,50000,0.1,0.1,0.12,336
6,3,50000,0.1,0.1,0.12,98
6,3,50000,0.1,0.1,0.12,115
6,3,50000,0.1,0.1,0.12,203
6,3,50000,0.1,0.1,0.12,288
6,3,50000,0.1,0.1,0.12,200
6,3,50000,0.1,0.1,0.12,426
6,3,50000,0.1,0.1,0.12,288
6,3,50000,0.1,0.1,0.12,158
6,3,50000,0.1,0.1,0.12,445
6,3,50000,0.1,0.1,0.12,388
6,3,50000,0.1,0.1,0.12,205
6,3,50000,0.1,0.1,0.12,115
6,3,50000,0.1,0.1,0.12,352
6,3,50000,0.1,0.1,0.12,282
6,3,50000,0.1,0.1,0.12,413
6,3,50000,0.1,0.1,0.12,184
6,3,50000,0.1,0.1,0.12,477
6,3,50000,0.1,0.1,0.12,426
6,3,50000,0.1,0.1,0.12,310
6,3,50000,0.1,0.1,0.12,133
6,3,50000,0.1,0.1,0.12,176
6,3,50000,0.1,0.1,0.12,173
6,3,50000,0.1,0.1,0.12,288
6,3,50000,0.1,0.1,0.12,341
6,3,50000,0.1,0.1,0.12,224
6,3,50000,0.1,0.1,0.12,214
6,3,50000,0.1,0.1,0.12,437
6,3,50000,0.1,0.1,0.12,458
6,3,50000,0.1,0.1,0.12,427
6,3,50000,0.1,0.1,0.12,156
6,3,50000,0.1,0.1,0.12,279
6,3,50000,0.1,0.1,0.12,364
6,3,50000,0.1,0.1,0.12,301
6,3,50000,0.1,0.1,0.12,306
6,3,50000,0.1,0.1,0.12,348
6,3,50000,0.1,0.1,0.12,99
6,3,50000,0.1,0.1,0.12,197
6,3,50000,0.1,0.1,0.12,237
6,3,50000,0.1,0.1,0.12,239
6,3,50000,0.1,0.1,0.12,241
6,3,50000,0.1,0.1,0.12,84
6,3,50000,0.1,0.1,0.12,245
6,3,50000,0.1,0.1,0.12,204
6,3,50000,0.1,0.1,0.12,203
6,3,50000,0.1,0.1,0.12,309
6,3,50000,0.1,0.1,0.12,285
6,3,50000,0.1,0.1,0.12,275
6,3,50000,0.1,0.1,0.12,55
6,3,50000,0.1,0.1,0.12,226
6,3,50000,0.1,0.1,0.12,271
6,3,50000,0.1,0.1,0.12,557
6,3,50000,0.1,0.1,0.12,149
6,3,50000,0.1,0.1,0.12,160
6,3,50000,0.1,0.1,0.12,29
6,3,50000,0.1,0.1,0.12,771
6,3,50000,0.1,0.1,0.12,210
6,3,50000,0.1,0.1,0.12,179
6,3,50000,0.1,0.1,0.12,250
6,3,50000,0.1,0.1,0.12,117
6,3,50000,0.1,0.1,0.12,245
6,3,50000,0.1,0.1,0.12,331
6,3,50000,0.1,0.1,0.12,186
6,3,50000,0.1,0.1,0.12,305
6,3,50000,0.1,0.1,0.12,252
6,3,50000,0.1,0.1,0.12,438
6,3,50000,0.1,0.1,0.12,183
6,3,50000,0.1,0.1,0.12,261
6,3,50000,0.1,0.1,0.12,396
6,3,50000,0.1,0.1,0.12,476
6,3,50000,0.1,0.1,0.12,188
6,3,50000,0.1,0.1,0.12,442
6,3,50000,0.1,0.1,0.12,313
6,3,50000,0.1,0.1,0.12,451
6,3,50000,0.1,0.1,0.12,403
6,3,50000,0.1,0.1,0.12,167
6,3,50000,0.1,0.1,0.12,124
6,3,50000,0.1,0.1,0.12,327
6,3,50000,0.1,0.1,0.12,92
6,3,50000,0.1,0.1,0.12,336
6,3,50000,0.1,0.1,0.12,258
6,3,50000,0.1,0.1,0.12,169
6,3,50000,0.1,0.1,0.12,304
6,3,50000,0.1,0.1,0.12,226
6,3,50000,0.1,0.1,0.12,228
6,3,50000,0.1,0.1,0.12,713
6,3,50000,0.1,0.1,0.12,139
6,3,50000,0.1,0.1,0.12,305
6,3,50000,0.1,0.1,0.12,249
6,3,50000,0.1,0.1,0.12,230
6,3,50000,0.1,0.1,0.12,282
6,3,50000,0.1,0.1,0.12,277
6,3,50000,0.1,0.1,0.12,161
6,3,50000,0.1,0.1,0.12,174
6,3,50000,0.1,0.1,0.12,316
6,3,50000,0.1,0.1,0.12,146
6,3,50000,0.1,0.1,0.12,265
6,3,50000,0.1,0.1,0.14,150
6,3,50000,0.1,0.1,0.14,81
6,3,50000,0.1,0.1,0.14,270
6,3,50000,0.1,0.1,0.14,279
6,3,50000,0.1,0.1,0.14,425
6,3,50000,0.1,0.1,0.14,42
6,3,50000,0.1,0.1,0.14,225
6,3,50000,0.1,0.1,0.14,372
6,3,50000,0.1,0.1,0.14,323
6,3,50000,0.1,0.1,0.14,194
6,3,50000,0.1,0.1,0.14,420
6,3,50000,0.1,0.1,0.14,123
6,3,50000,0.1,0.1,0.14,140
6,3,50000,0.1,0.1,0.14,213
6,3,50000,0.1,0.1,0.14,382
6,3,50000,0.1,0.1,0.14,626
6,3,50000,0.1,0.1,0.14,261
6,3,50000,0.1,0.1,0.14,224
6,3,50000,0.1,0.1,0.14,61
6,3,50000,0.1,0.1,0.14,319
6,3,50000,0.1,0.1,0.14,136
6,3,50000,0.1,0.1,0.14,148
6,3,50000,0.1,0.1,0.14,286
6,3,50000,0.1,0.1,0.14,408
6,3,50000,0.1,0.1,0.14,330
6,3,50000,0.1,0.1,0.14,186
6,3,50000,0.1,0.1,0.14,291
6,3,50000,0.1,0.1,0.14,812
6,3,50000,0.1,0.1,0.14,342
6,3,50000,0.1,0.1,0.14,340
6,3,50000,0.1,0.1,0.14,212
6,3,50000,0.1,0.1,0.14,256
6,3,50000,0.1,0.1,0.14,378
6,3,50000,0.1,0.1,0.14,388
6,3,50000,0.1,0.1,0.14,210
6,3,50000,0.1,0.1,0.14,100
6,3,50000,0.1,0.1,0.14,385
6,3,50000,0.1,0.1,0.14,298
6,3,50000,0.1,0.1,0.14,228
6,3,50000,0.1,0.1,0.14,223
6,3,50000,0.1,0.1,0.14,350
6,3,50000,0.1,0.1,0.14,353
6,3,50000,0.1,0.1,0.14,348
6,3,50000,0.1,0.1,0.14,276
6,3,50000,0.1,0.1,0.14,278
6,3,50000,0.1,0.1,0.14,427
6,3,50000,0.1,0.1,0.14,305
6,3,50000,0.1,0.1,0.14,144
6,3,50000,0.1,0.1,0.14,222
6,3,50000,0.1,0.1,0.14,317
6,3,50000,0.1,0.1,0.14,393
6,3,50000,0.1,0.1,0.14,195
6,3,50000,0.1,0.1,0.14,100
